Round: 0
Turn num: 0   Lines cleared: 0
Turn num: 31600000   Lines cleared: 12639996
Turn num: 31700000   Lines cleared: 12679997
Turn num: 31800000   Lines cleared: 12719998
Turn num: 31900000   Lines cleared: 12759999
Turn num: 32000000   Lines cleared: 12799998
Turn num: 32100000   Lines cleared: 12839999
Turn num: 32200000   Lines cleared: 12879995
Turn num: 32300000   Lines cleared: 12919997
Turn num: 32400000   Lines cleared: 12959998
Turn num: 32500000   Lines cleared: 12999999
Turn num: 32600000   Lines cleared: 13039998
Turn num: 32700000   Lines cleared: 13079998
Turn num: 32800000   Lines cleared: 13119997
Turn num: 32900000   Lines cleared: 13159999
Turn num: 33000000   Lines cleared: 13199998
Turn num: 33100000   Lines cleared: 13239997
Turn num: 33200000   Lines cleared: 13279998
Turn num: 33300000   Lines cleared: 13319999
Turn num: 33400000   Lines cleared: 13359998
Turn num: 33500000   Lines cleared: 13399997
Turn num: 33600000   Lines cleared: 13439998
Turn num: 33700000   Lines cleared: 13479998
Turn num: 33800000   Lines cleared: 13519999
Turn num: 33900000   Lines cleared: 13559999
Turn num: 34000000   Lines cleared: 13599998
Turn num: 34100000   Lines cleared: 13639997
Turn num: 34200000   Lines cleared: 13679998
Turn num: 34300000   Lines cleared: 13719999
Turn num: 34400000   Lines cleared: 13759999
Turn num: 34500000   Lines cleared: 13799998
Turn num: 34600000   Lines cleared: 13839999
Turn num: 34700000   Lines cleared: 13879997
Turn num: 34800000   Lines cleared: 13919999
Turn num: 34900000   Lines cleared: 13959996
Turn num: 35000000   Lines cleared: 13999998
Turn num: 35100000   Lines cleared: 14039997
Turn num: 35200000   Lines cleared: 14079998
Turn num: 35300000   Lines cleared: 14119999
Turn num: 35400000   Lines cleared: 14159999
Turn num: 35500000   Lines cleared: 14199999
Turn num: 35600000   Lines cleared: 14239998
Turn num: 35700000   Lines cleared: 14279997
Turn num: 35800000   Lines cleared: 14319997
Turn num: 35900000   Lines cleared: 14359998
Turn num: 36000000   Lines cleared: 14399998
Turn num: 36100000   Lines cleared: 14439999
Turn num: 36200000   Lines cleared: 14479997
Turn num: 36300000   Lines cleared: 14519998
Turn num: 36400000   Lines cleared: 14559997
Turn num: 36500000   Lines cleared: 14599998
Turn num: 36600000   Lines cleared: 14639998
Turn num: 36700000   Lines cleared: 14679998
Turn num: 36800000   Lines cleared: 14719999
Turn num: 36900000   Lines cleared: 14759998
Turn num: 37000000   Lines cleared: 14799996
Turn num: 37100000   Lines cleared: 14839999
Turn num: 37200000   Lines cleared: 14879997
Turn num: 37300000   Lines cleared: 14919999
Turn num: 37400000   Lines cleared: 14959997
Turn num: 37500000   Lines cleared: 14999999
Turn num: 37600000   Lines cleared: 15039999
Turn num: 37700000   Lines cleared: 15079999
Turn num: 37800000   Lines cleared: 15119997
Turn num: 37900000   Lines cleared: 15159999
Turn num: 38000000   Lines cleared: 15199998
Turn num: 38100000   Lines cleared: 15239998
Turn num: 38200000   Lines cleared: 15279997
Turn num: 38300000   Lines cleared: 15319997
Turn num: 38400000   Lines cleared: 15359999
Turn num: 38500000   Lines cleared: 15399999
Turn num: 38600000   Lines cleared: 15439998
Turn num: 38700000   Lines cleared: 15479999
Turn num: 38800000   Lines cleared: 15519999
Turn num: 38900000   Lines cleared: 15559997
Turn num: 39000000   Lines cleared: 15599999
Turn num: 39100000   Lines cleared: 15639999
Turn num: 39200000   Lines cleared: 15679998
Turn num: 39300000   Lines cleared: 15719998
Turn num: 39400000   Lines cleared: 15759998
Turn num: 39500000   Lines cleared: 15799997
Turn num: 39600000   Lines cleared: 15839998
Turn num: 39700000   Lines cleared: 15879997
Turn num: 39800000   Lines cleared: 15919998
Turn num: 39900000   Lines cleared: 15959999
Turn num: 40000000   Lines cleared: 15999998
Turn num: 40100000   Lines cleared: 16039999
Turn num: 40200000   Lines cleared: 16079998
Turn num: 40300000   Lines cleared: 16119997
Turn num: 40400000   Lines cleared: 16159998
Turn num: 40500000   Lines cleared: 16199996
Turn num: 40600000   Lines cleared: 16239998
Turn num: 40700000   Lines cleared: 16279996
Turn num: 40800000   Lines cleared: 16319998
Turn num: 40900000   Lines cleared: 16359998
Turn num: 41000000   Lines cleared: 16399999
Turn num: 41100000   Lines cleared: 16439999
Turn num: 41200000   Lines cleared: 16479998
Turn num: 41300000   Lines cleared: 16519995
Turn num: 41400000   Lines cleared: 16559994
Turn num: 41500000   Lines cleared: 16599999
Turn num: 41600000   Lines cleared: 16639998
Turn num: 41700000   Lines cleared: 16679999
Turn num: 41800000   Lines cleared: 16719998
Turn num: 41900000   Lines cleared: 16759998
Turn num: 42000000   Lines cleared: 16799998
Turn num: 42100000   Lines cleared: 16839998
Turn num: 42200000   Lines cleared: 16879997
Turn num: 42300000   Lines cleared: 16919994
Turn num: 42400000   Lines cleared: 16959999
Turn num: 42500000   Lines cleared: 16999999
Turn num: 42600000   Lines cleared: 17039998
Turn num: 42700000   Lines cleared: 17079997
Turn num: 42800000   Lines cleared: 17119997
Turn num: 42900000   Lines cleared: 17159999
Turn num: 43000000   Lines cleared: 17199999
Turn num: 43100000   Lines cleared: 17239998
Turn num: 43200000   Lines cleared: 17279997
Turn num: 43300000   Lines cleared: 17319995
Turn num: 43400000   Lines cleared: 17359995
Turn num: 43500000   Lines cleared: 17399994
Turn num: 43600000   Lines cleared: 17439998
Turn num: 43700000   Lines cleared: 17479998
Turn num: 43800000   Lines cleared: 17519998
Turn num: 43900000   Lines cleared: 17559997
Turn num: 44000000   Lines cleared: 17599998
Turn num: 44100000   Lines cleared: 17639998
Turn num: 44200000   Lines cleared: 17679998
Turn num: 44300000   Lines cleared: 17719999
Turn num: 44400000   Lines cleared: 17759999
Turn num: 44500000   Lines cleared: 17799999
Turn num: 44600000   Lines cleared: 17839995
Turn num: 44700000   Lines cleared: 17879998
Turn num: 44800000   Lines cleared: 17919999
Turn num: 44900000   Lines cleared: 17959998
Turn num: 45000000   Lines cleared: 17999996
Turn num: 45100000   Lines cleared: 18039997
Turn num: 45200000   Lines cleared: 18079998
Turn num: 45300000   Lines cleared: 18119999
Turn num: 45400000   Lines cleared: 18159997
Turn num: 45500000   Lines cleared: 18199998
Turn num: 45600000   Lines cleared: 18239999
Turn num: 45700000   Lines cleared: 18279997
Turn num: 45800000   Lines cleared: 18319998
Turn num: 45900000   Lines cleared: 18359999
Turn num: 46000000   Lines cleared: 18399998
Turn num: 46100000   Lines cleared: 18439997
Turn num: 46200000   Lines cleared: 18479998
Turn num: 46300000   Lines cleared: 18519999
Turn num: 46400000   Lines cleared: 18559997
Turn num: 46500000   Lines cleared: 18599999
Turn num: 46600000   Lines cleared: 18639999
Turn num: 46700000   Lines cleared: 18679999
Turn num: 46800000   Lines cleared: 18719996
Turn num: 46900000   Lines cleared: 18759999
Turn num: 47000000   Lines cleared: 18799998
Turn num: 47100000   Lines cleared: 18839999
Turn num: 47200000   Lines cleared: 18879999
Turn num: 47300000   Lines cleared: 18919996
Turn num: 47400000   Lines cleared: 18959997
Turn num: 47500000   Lines cleared: 19000000
Turn num: 47600000   Lines cleared: 19039999
Turn num: 47700000   Lines cleared: 19079998
Turn num: 47800000   Lines cleared: 19119996
Turn num: 47900000   Lines cleared: 19159998
Turn num: 48000000   Lines cleared: 19199998
Turn num: 48100000   Lines cleared: 19239999
Turn num: 48200000   Lines cleared: 19279999
Turn num: 48300000   Lines cleared: 19319997
Turn num: 48400000   Lines cleared: 19359999
Turn num: 48500000   Lines cleared: 19399998
Turn num: 48600000   Lines cleared: 19439999
Turn num: 48700000   Lines cleared: 19479998
Turn num: 48800000   Lines cleared: 19519999
Turn num: 48900000   Lines cleared: 19559998
Turn num: 49000000   Lines cleared: 19599998
Turn num: 49100000   Lines cleared: 19639999
Turn num: 49200000   Lines cleared: 19679998
Turn num: 49300000   Lines cleared: 19719999
Turn num: 49400000   Lines cleared: 19759999
Turn num: 49500000   Lines cleared: 19799997
Turn num: 49600000   Lines cleared: 19839998
Turn num: 49700000   Lines cleared: 19879999
Turn num: 49800000   Lines cleared: 19919997
Turn num: 49900000   Lines cleared: 19959999
Turn num: 50000000   Lines cleared: 19999998
Turn num: 50100000   Lines cleared: 20039998
Turn num: 50200000   Lines cleared: 20079999
Turn num: 50300000   Lines cleared: 20119999
Turn num: 50400000   Lines cleared: 20159999
Turn num: 50500000   Lines cleared: 20199995
Turn num: 50600000   Lines cleared: 20239998
Turn num: 50700000   Lines cleared: 20279997
Turn num: 50800000   Lines cleared: 20319998
Turn num: 50900000   Lines cleared: 20359998
Turn num: 51000000   Lines cleared: 20399996
Turn num: 51100000   Lines cleared: 20439998
Turn num: 51200000   Lines cleared: 20479997
Turn num: 51300000   Lines cleared: 20519999
Turn num: 51400000   Lines cleared: 20559999
Turn num: 51500000   Lines cleared: 20599999
Turn num: 51600000   Lines cleared: 20639999
Turn num: 51700000   Lines cleared: 20679998
Turn num: 51800000   Lines cleared: 20719998
Turn num: 51900000   Lines cleared: 20759997
Turn num: 52000000   Lines cleared: 20799998
Turn num: 52100000   Lines cleared: 20839997
Turn num: 52200000   Lines cleared: 20879998
Turn num: 52300000   Lines cleared: 20919998
Turn num: 52400000   Lines cleared: 20959999
Turn num: 52500000   Lines cleared: 20999998
Turn num: 52600000   Lines cleared: 21039998
Turn num: 52700000   Lines cleared: 21079998
Turn num: 52800000   Lines cleared: 21119999
Turn num: 52900000   Lines cleared: 21159999
Turn num: 53000000   Lines cleared: 21199999
Turn num: 53100000   Lines cleared: 21239997
Turn num: 53200000   Lines cleared: 21279999
Turn num: 53300000   Lines cleared: 21319997
Turn num: 53400000   Lines cleared: 21359999
Turn num: 53500000   Lines cleared: 21399999
Turn num: 53600000   Lines cleared: 21439997
Turn num: 53700000   Lines cleared: 21479998
Turn num: 53800000   Lines cleared: 21519999
Turn num: 53900000   Lines cleared: 21559999
Turn num: 54000000   Lines cleared: 21599998
Turn num: 54100000   Lines cleared: 21639998
Turn num: 54200000   Lines cleared: 21679998
Turn num: 54300000   Lines cleared: 21719998
Turn num: 54400000   Lines cleared: 21759999
Turn num: 54500000   Lines cleared: 21799998
Turn num: 54600000   Lines cleared: 21839998
Turn num: 54700000   Lines cleared: 21879996
Turn num: 54800000   Lines cleared: 21919998
Turn num: 54900000   Lines cleared: 21959999
Turn num: 55000000   Lines cleared: 21999999
Turn num: 55100000   Lines cleared: 22039998
Turn num: 55200000   Lines cleared: 22079998
Turn num: 55300000   Lines cleared: 22119998
Turn num: 55400000   Lines cleared: 22159997
Turn num: 55500000   Lines cleared: 22199998
Turn num: 55600000   Lines cleared: 22239998
Turn num: 55700000   Lines cleared: 22279998
Turn num: 55800000   Lines cleared: 22319997
Turn num: 55900000   Lines cleared: 22359998
Turn num: 56000000   Lines cleared: 22399998
Turn num: 56100000   Lines cleared: 22439999
Turn num: 56200000   Lines cleared: 22479998
Turn num: 56300000   Lines cleared: 22519998
Turn num: 56400000   Lines cleared: 22559996
Turn num: 56500000   Lines cleared: 22599998
Turn num: 56600000   Lines cleared: 22639996
Turn num: 56700000   Lines cleared: 22679998
Turn num: 56800000   Lines cleared: 22719999
Turn num: 56900000   Lines cleared: 22759999
Turn num: 57000000   Lines cleared: 22799997
Turn num: 57100000   Lines cleared: 22839998
Turn num: 57200000   Lines cleared: 22879997
Turn num: 57300000   Lines cleared: 22919998
Turn num: 57400000   Lines cleared: 22959998
Turn num: 57500000   Lines cleared: 22999999
Turn num: 57600000   Lines cleared: 23039998
Turn num: 57700000   Lines cleared: 23079999
Turn num: 57800000   Lines cleared: 23119999
Turn num: 57900000   Lines cleared: 23159998
Turn num: 58000000   Lines cleared: 23199998
Turn num: 58100000   Lines cleared: 23239998
Turn num: 58200000   Lines cleared: 23279997
Turn num: 58300000   Lines cleared: 23319997
Turn num: 58400000   Lines cleared: 23359999
Turn num: 58500000   Lines cleared: 23399998
Turn num: 58600000   Lines cleared: 23439996
Turn num: 58700000   Lines cleared: 23479997
Turn num: 58800000   Lines cleared: 23519997
Turn num: 58900000   Lines cleared: 23559999
Turn num: 59000000   Lines cleared: 23599998
Turn num: 59100000   Lines cleared: 23639996
Turn num: 59200000   Lines cleared: 23679998
Turn num: 59300000   Lines cleared: 23719997
Turn num: 59400000   Lines cleared: 23759998
Turn num: 59500000   Lines cleared: 23799999
Turn num: 59600000   Lines cleared: 23839997
Turn num: 59700000   Lines cleared: 23879998
Turn num: 59800000   Lines cleared: 23919997
Turn num: 59900000   Lines cleared: 23959996
Turn num: 60000000   Lines cleared: 23999998
Turn num: 60100000   Lines cleared: 24039998
Turn num: 60200000   Lines cleared: 24079998
Turn num: 60300000   Lines cleared: 24119996
Turn num: 60400000   Lines cleared: 24159999
Turn num: 60500000   Lines cleared: 24199998
Turn num: 60600000   Lines cleared: 24239997
Turn num: 60700000   Lines cleared: 24279998
Turn num: 60800000   Lines cleared: 24319998
Turn num: 60900000   Lines cleared: 24359999
Turn num: 61000000   Lines cleared: 24399999
Turn num: 61100000   Lines cleared: 24439999
Turn num: 61200000   Lines cleared: 24479998
Turn num: 61300000   Lines cleared: 24519998
Turn num: 61400000   Lines cleared: 24559998
Turn num: 61500000   Lines cleared: 24599998
Turn num: 61600000   Lines cleared: 24639997
